X1,X2
NUP107,RANBP2
CENPM,NDC80
KIF18A,MIS12
HIST3H3,PPP5C
PSMB8,PSMF1
CENPN,NDEL1
CDCA8,RANBP2
CENPA,PLK1
DYNLL1,XPO1
RNF8,UBE2V2
ERCC6L,KIF18A
NUP37,NUP85
NUP133,ZWINT
PSMD11,PSMD3
CENPN,RCC2
PSMD11,PSMD4
PSMD11,PSMD2
PSMD11,PSMD7
PSMD11,PSMD8
PSMD11,PSMD5
PSMD11,PSMD6
NSL1,PPP1CC
PSMD11,PSMD9
CLIP1,RPS27
NUP133,SEH1L
PLK1,RCC2
PSMB5,TP53
NUP37,NUP98
PSMD11,PSME1
KIF18A,NUP98
PSMD11,PSME4
PSMD11,PSME3
DYNC1H1,ZWILCH
KIF2A,ZWINT
HERC2,HIST3H3
AHCTF1,MAD2L1
DYNC1I2,RANBP2
PSMD11,PSMF1
CENPT,PAFAH1B1
KIF18A,NUP85
CENPI,DYNLL2
CENPI,DYNLL1
ATR,WRN
AHCTF1,PLK1
NUP37,NUP43
BRCA1,NBN
RPA2,TOP3A
NUP37,RANGAP1
CENPK,TAOK1
CENPA,PPP1CC
NUDC,NUP107
MDC1,UBE2I
NDC80,ZWILCH
PSMC2,PSMD14
PSMC2,PSMD13
RAD9A,TOP3A
PSMC2,PSMD10
MDC1,UBE2N
PSMC2,PSMD12
PSMC2,PSMD11
ANAPC10,ANAPC11
KIF18A,NUP43
HIST1H4A,RNF168
ANAPC10,ANAPC16
DYNC1I1,MAD2L1
CENPA,MAD1L1
CDCA8,DSN1
NUP85,TAOK1
NBN,RAD9B
BUB1,CENPA
